,date,name_p,S,cobs_p,delta_p,vega_p,name_h,cobs_h,delta_h,vega_h,option_h_amount,stock_h_amount
39,2009-11-23,340-20100115,0.516,0.17635,0.9904247985831415,0.005340798804351141,340-20100618,0.1766,0.9864130766866182,0.013844743221912493,0.38576365908311666,0.6099024807530766
40,2009-11-24,340-20100115,0.5157999999999999,0.17605,0.9927639630980191,0.004123461281090187,340-20100618,0.1762,0.9906050200516234,0.010009752652448332,0.41194437307915,0.5846897991437943
41,2009-11-25,340-20100115,0.5171399999999999,0.1777,0.9860841178403079,0.00722257955468887,340-20100618,0.1778,0.9853052976997426,0.014745500401804522,0.48981583248303917,0.5034659831975598
42,2009-11-26,340-20100115,0.5171399999999999,0.1777,0.9860736926852972,0.00713398583206143,340-20100618,0.1778,0.9852950937964521,0.014704378338370043,0.48516065541144265,0.5080472792053317
43,2009-11-27,340-20100115,0.50898,0.1693,0.9908232999007891,0.004821886732009284,340-20100618,0.1701,0.976783417970622,0.02127757535664282,0.22661824250120208,0.7694663584159697
44,2009-11-30,340-20100115,0.51074,0.1711,0.9899610613733122,0.005162452652634648,340-20100618,0.17165,0.9805165516929623,0.01834614367938333,0.28139170513724954,0.7140518369771335
45,2009-12-01,340-20100115,0.51638,0.17735,0.9788630154073517,0.00976459598646728,340-20100618,0.1779,0.971761874977751,0.025257390222012753,0.386603520816536,0.6031764531456747
46,2009-12-02,340-20100115,0.51563,0.1761,0.9878349087791132,0.00598613815795077,340-20100618,0.17655,0.9808255239107014,0.01814545308518408,0.3298974200230086,0.664263098948257
47,2009-12-03,340-20100115,0.51198,0.17225,0.9921235818890383,0.004005861079894043,340-20100618,0.1727,0.9840509034984067,0.015341567128814945,0.2611115961139411,0.7351764798192035
48,2009-12-04,340-20100115,0.51389,0.1759,0.9640337456763118,0.014469499686799477,340-20100618,0.1766,0.9569899168823115,0.03513074720683158,0.4118756598489234,0.5698728921916434
49,2009-12-07,340-20100115,0.5124500000000001,0.17643999999999999,0.9432049510688978,0.020507064021379154,340-20100618,0.17415,0.96891898254175,0.026762483087853076,0.7662616340218026,0.20075950827171396
50,2009-12-10,340-20100115,0.51188,0.1728,0.979171459323008,0.008550570256436756,340-20100618,0.1734,0.9712942952347524,0.024757122412650108,0.34537819516809776,0.6437075886577597
51,2009-12-11,340-20100115,0.51366,0.17545,0.9665635912055865,0.012512745666854926,340-20100618,0.1757,0.9639870643310599,0.029847981225807247,0.41921581135397257,0.5624449718973071
52,2009-12-14,340-20100115,0.51535,0.176,0.9840469664770128,0.006609268651332901,340-20100618,0.17605,0.9839426689783197,0.015144657422289255,0.4364092542367888,0.5546452800964288
53,2009-12-15,340-20100115,0.51213,0.17288,0.9819275835176844,0.007165186524164916,340-20100618,0.1737,0.9698275640072249,0.025531294356846618,0.2806432930511985,0.7097519822628748
54,2009-12-16,340-20100115,0.51197,0.1734,0.9711321093301831,0.010412527541582235,340-20100618,0.1736,0.9689736555113875,0.026022473420195525,0.4001359660723596,0.5834108995834684
55,2009-12-17,340-20100115,0.50571,0.16755,0.9644614569936698,0.0119540799948778,340-20100618,0.1684,0.9546895593668381,0.03488498689578232,0.34267119063539264,0.637316848998257
56,2009-12-18,340-20100115,0.50873,0.1697,0.9777864121583303,0.00795387598385373,340-20100618,0.1698,0.9771120163029707,0.01990464759365234,0.39959893519492645,0.5873334908774956
57,2009-12-21,340-20100115,0.5139400000000001,0.17425,0.9909892085548071,0.0036099348755332166,340-20100618,0.17405,0.9982186643463339,0.002106624282991894,1.71361115728063,-0.7195694320748389
58,2009-12-22,340-20100115,0.51515,0.1761,0.9788414879423901,0.007370102683776454,340-20100618,0.17625,0.9773888273685468,0.019797330673478764,0.37227759667871363,0.6149815242690013
59,2009-12-23,340-20100115,0.51544,0.176,0.9857474909258085,0.00512923624200409,340-20100618,0.1759,0.9890089379110962,0.010631095933750579,0.4824748336359458,0.5085755681426889
60,2009-12-24,340-20100115,0.51816,0.17884999999999998,0.9835471622309716,0.005677306292020286,340-20100618,0.17895,0.9828246795485074,0.015644847961095498,0.3628866388563321,0.6268932176845621
61,2009-12-25,340-20100115,0.51816,0.17884999999999998,0.9836611396303196,0.0054846062284160035,340-20100618,0.17895,0.9837233104641946,0.01488292323879578,0.3685167315866489,0.6211426404724564
62,2009-12-28,340-20100115,0.51913,0.17975,0.9849946940351713,0.004955279064833672,340-20100618,0.17984999999999998,0.9850575578105442,0.01380053215860646,0.359064346786323,0.6312956454929977
63,2009-12-29,340-20100115,0.51875,0.17945,0.9834998134424565,0.00520132912641597,340-20100618,0.17934999999999998,0.9873238375426596,0.011918367287582849,0.4364128912049031,0.5526189629449443
64,2009-12-30,340-20100115,0.5189,0.17955000000000002,0.9843929966712244,0.004792296753083895,340-20100618,0.17959999999999998,0.9853750730118774,0.013433163293349249,0.35675117233604675,0.6328592841835194
